Sl. No.,Year & Author,Title,Publisher/Journal,Dataset Used,Research Gap,Proposed Solution,Main ML/DL Methods,"Performance (Accuracy, Precision, Recall, F1-Score, etc.)",Limitations,Future Work,Citation (BibTeX Format)
11,2022 Zhang et al.,Real-Time Authentication via Cursor Tracking in High-Density UIs,Elsevier - Pervasive and Mobile Computing,Custom Dashboard Logs,"High-density UIs cause erratic, non-standard mouse movements.",Context-aware clustering based on the DOM element being hovered.,"DBSCAN, SVM",Accuracy: 93.8%,Requires extensive DOM tagging.,Automated context-inference.,"@article{zhang2022realtime, author={Zhang, L. and others}, title={Real-Time Authentication}, journal={Pervasive and Mobile Computing}, year={2022}, publisher={Elsevier}}"
12,2024 Patel et al.,Privacy-Preserving Continuous Authentication via Federated Learning,Elsevier - Computers & Security,Balabit Mouse Dynamics,Centralized biometric databases pose severe privacy risks.,Implemented Federated Learning to train models locally in-browser.,"Federated SVM, Secure Enclaves","Accuracy: 95.1%, EER: 3.2%",High client-side memory usage.,Model quantization for browser execution.,"@article{patel2024privacy, author={Patel, R. and others}, title={Privacy-Preserving Continuous Auth}, journal={Computers & Security}, year={2024}, publisher={Elsevier}}"
13,2022 Gomez et al.,Evaluating Behavioral Biometrics Against Insider Threats,Elsevier - Decision Support Systems,Corporate Insider DB,Models fail to distinguish legitimate users under stress vs. attackers.,Stress-injected datasets evaluating physiological variance.,Ensemble Trees,Accuracy: 92.4% (under stress),Small sample size for stressed users.,Expand physiological correlation datasets.,"@article{gomez2022evaluating, author={Gomez, M. and others}, title={Evaluating Behavioral Biometrics}, journal={Decision Support Systems}, year={2022}, publisher={Elsevier}}"
14,2023 Wu et al.,Transfer Learning for Cross-Platform Mouse Dynamics,Elsevier - Expert Systems with Applications,Balabit & CUMouse,Models trained on desktop fail when user switches to trackpad.,Domain adaptation techniques using Transfer Learning.,CNN with Domain Adaptation,Accuracy: 91.5% (Cross-platform),Performance drop on ultra-low DPI devices.,Device-agnostic scaling layers.,"@article{wu2023transfer, author={Wu, X. and others}, title={Transfer Learning for Mouse Dynamics}, journal={Expert Systems with Applications}, year={2023}, publisher={Elsevier}}"
15,2021 Zhao et al.,Recurrent Neural Networks for Modeling Cursor Paths,IEEE Access,Balabit Mouse Dynamics,Spatial data loses sequential context in standard ML models.,RNNs utilized to process exact X/Y sequential paths over time.,"RNN, GRU","Accuracy: 96.8%, AUC: 0.98",Vanishing gradient issues on long sessions.,Transition to Transformer architectures.,"@article{zhao2021recurrent, author={Zhao, Y. and others}, title={RNNs for Cursor Paths}, journal={IEEE Access}, year={2021}}"
16,2024 Abaza et al.,Vision Transformers for Spatial-Temporal Mouse Data,Elsevier - Pattern Recognition Letters,Custom Trajectory DB,RNNs are too slow for real-time web execution.,Converted trajectories into image grids and applied Vision Transformers (ViT).,"ViT, CNN","Accuracy: 98.4%, Inference: 12ms",Requires GPU acceleration.,Optimize ViT for WebGL/WebGPU.,"@article{abaza2024vision, author={Abaza, T. and others}, title={Vision Transformers for Mouse Data}, journal={Pattern Recognition Letters}, year={2024}, publisher={Elsevier}}"
17,2022 Silva et al.,Implementing Zero-Trust Architecture in Legacy Web Platforms,Elsevier - Information Systems,N/A (Architecture),Legacy systems cannot support modern continuous auth APIs.,Middleware proxy validating behavioral data before hitting legacy backend.,N/A (System Design),Latency: <50ms overhead,Proxy creates a single point of failure.,Distributed biometric validation nodes.,"@article{silva2022implementing, author={Silva, P. and others}, title={Implementing Zero-Trust}, journal={Information Systems}, year={2022}, publisher={Elsevier}}"
18,2023 Naser et al.,Impact of Screen Resolution on Cursor Biometrics,Elsevier - Computers in Human Behavior,Multi-Resolution Mouse DB,Raw pixel coordinates break models when window is resized.,Resolution-normalized vector mapping.,Random Forest,Accuracy: 95.5% across 4 resolutions,Fails on multi-monitor spanned setups.,Multi-display vector normalization.,"@article{naser2023impact, author={Naser, F. and others}, title={Impact of Screen Resolution}, journal={Computers in Human Behavior}, year={2023}, publisher={Elsevier}}"
19,2024 Kim et al.,Scalable Behavioral Biometrics for Cloud-Native Applications,Elsevier - Future Generation Computer Systems,AWS Cloud Logs + Balabit,"Processing continuous telemetry for 10,000+ concurrent users crashes servers.",Serverless architecture utilizing AWS Lambda for batch validation.,XGBoost (Serverless),Scalability: 10k users with <100ms lag,Cold-start latency in serverless functions.,Provisioned concurrency optimization.,"@article{kim2024scalable, author={Kim, D. and others}, title={Scalable Behavioral Biometrics}, journal={Future Generation Computer Systems}, year={2024}, publisher={Elsevier}}"
20,2023 Ouyang et al.,Evading Mouse Biometrics: A Generative Adversarial Approach,Elsevier - Computers & Security,Balabit Mouse Dynamics,Adversaries can generate synthetic mouse movements to spoof ML models.,Evaluated GAN-generated trajectories against current classifiers.,"GANs, Discriminator SVM",Spoof Success Rate: 42%,Current classifiers are vulnerable to AI bots.,Develop anti-GAN discriminator models.,"@article{ouyang2023evading, author={Ouyang, Z. and others}, title={Evading Mouse Biometrics}, journal={Computers & Security}, year={2023}, publisher={Elsevier}}"
